P00734	Prothrombin
P00734	3.4.21.5
P00734	Coagulation factor II
P00533	Epidermal growth factor receptor
P00533	EGFR
P00533	2.7.10.1
P00533	ERBB
P00533	ERBB1
P00533	HER1
P00533	Proto-oncogene c-ErbB-1
P00533	Receptor tyrosine-protein kinase erbB-1
O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
O75015	FCGR3B
O75015	CD16B
O75015	Fc-gamma RIII
O75015	Fc-gamma RIII-beta
O75015	Fc-gamma RIIIb
O75015	FCG3
O75015	FCGR3
O75015	FcR-10
O75015	FcRIII
O75015	FcRIIIb
O75015	IGFR3
O75015	IgG Fc receptor III-1
P02745	Complement C1q subcomponent subunit A
P02745	C1QA
P02745	Complement C1q subcomponent subunit A precursor
P02746	Complement C1q subcomponent subunit B
P02746	C1QB
P02746	Complement C1q subcomponent subunit B precursor
P02747	Complement C1q subcomponent subunit C
P02747	C1QC
P02747	C1QG
P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
P08637	FCGR3A
P08637	CD16A
P08637	CD16a antigen
P08637	Fc-gamma RIII
P08637	Fc-gamma RIII-alpha
P08637	Fc-gamma RIIIa
P08637	FCG3
P08637	FCGR3
P08637	FcR-10
P08637	FcRIII
P08637	FcRIIIa
P08637	IGFR3
P08637	IgG Fc receptor III-2
P12314	High affinity immunoglobulin gamma Fc receptor I
P12314	FCGR1A
P12314	Fc-gamma RI
P12314	Fc-gamma RIA
P12314	FCG1
P12314	FcgammaRIa
P12314	FCGR1
P12314	FcRI
P12314	IGFR1
P12314	IgG Fc receptor I
P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
P12318	FCGR2A
P12318	CD32
P12318	CDw32
P12318	Fc-gamma RII-a
P12318	Fc-gamma-RIIa
P12318	FCG2
P12318	FCGR2A1
P12318	FcRII-a
P12318	IGFR2
P12318	IgG Fc receptor II-a
P01589	Interleukin-2 receptor subunit alpha
P01589	IL2RA
P01589	IL-2 receptor subunit alpha
P01589	TAC antigen
P14784	Interleukin-2 receptor subunit beta
P14784	IL2RB
P14784	High affinity IL-2 receptor subunit beta
P14784	IL-2 receptor subunit beta
P14784	p70-75
P31785	Cytokine receptor common subunit gamma
P31785	IL2RG
P31785	gammaC
P31785	IL-2 receptor subunit gamma
P31785	IL-2R subunit gamma
P31785	IL-2RG
P31785	Interleukin-2 receptor subunit gamma
P01375	Tumor necrosis factor
P01375	Cachectin
P01375	TNF-a
P01375	TNF-alpha
P01375	TNFA
P01375	TNFSF2
P01375	Tumor necrosis factor ligand superfamily member 2
P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
P31994	FCGR2B
P31994	CD32
P31994	CDw32
P31994	Fc-gamma RII-b
P31994	Fc-gamma-RIIb
P31994	FCG2
P31994	FcRII-b
P31994	IGFR2
P31994	IgG Fc receptor II-b
P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
P31995	FCGR2C
P31995	CD32
P31995	CDw32
P31995	Fc-gamma RII-c
P31995	Fc-gamma-RIIc
P31995	FCG2
P31995	FcRII-c
P31995	IGFR2
P31995	IgG Fc receptor II-c
P01374	Lymphotoxin-alpha
P01374	LT-alpha
P01374	TNF-beta
P01374	TNFB
P01374	TNFSF1
P01374	Tumor necrosis factor ligand superfamily member 1
P05164	Myeloperoxidase
P05164	1.11.2.2
P30968	Gonadotropin-releasing hormone receptor
P30968	GNRHR
P30968	GnRH receptor
P30968	GRHR
P48551	Interferon alpha/beta receptor 2
P48551	IFNAR2
P48551	IFN-R-2
P48551	IFNABR
P48551	IFNARB
P48551	Interferon alpha binding protein
P48551	Type I interferon receptor 2
P17181	Interferon alpha/beta receptor 1
P17181	IFNAR1
P17181	CRF2-1
P17181	Cytokine receptor class-II member 1
P17181	Cytokine receptor family 2 member 1
P17181	IFN-R-1
P17181	IFNAR
P17181	Type I interferon receptor 1
P05177	Cytochrome P450 1A2
P05177	CYP1A2
P05177	1.14.14.1
P05177	Cholesterol 25-hydroxylase
P05177	CYPIA2
P05177	Cytochrome P(3)450
P05177	Cytochrome P450 4
P05177	Cytochrome P450-P3
P00747	Plasminogen
P00747	3.4.21.7
P02671	Fibrinogen alpha chain
P02671	Fibrinogen alpha chain precursor
Q03405	Urokinase plasminogen activator surface receptor
Q03405	PLAUR
Q03405	Monocyte activation antigen Mo3
Q03405	U-PAR
Q03405	UPAR
P05121	Plasminogen activator inhibitor 1
P05121	SERPINE1
P05121	Endothelial plasminogen activator inhibitor
P05121	PAI1
P05121	PLANH1
P05121	Serpin E1
Q02643	Growth hormone-releasing hormone receptor
Q02643	GHRHR
Q02643	GHRH receptor
Q02643	GRF receptor
Q02643	GRFR
Q02643	Growth hormone-releasing factor receptor
P19235	Erythropoietin receptor
P19235	EPOR
P19235	EPO-R
