P00734	F2
P00734	Prothrombin
P00734	PT
P00734	RPRGL2
P00734	THPH1
P31994	FCGR2B
P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
P31994	CD32
P31994	CD32B
P31994	FCG2
P31994	FCGR2
P31994	IGFR2
P09871	C1S
P09871	Complement C1s subcomponent
P12318	FCGR2A
P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
P12318	CD32
P12318	CD32A
P12318	CDw32
P12318	FCG2
P12318	FCGR2
P12318	FCGR2A1
P12318	FcGR
P12318	IGFR2
O75015	FCGR3B
O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
O75015	CD16
O75015	CD16b
O75015	FCG3
O75015	FCGR3
O75015	FCR-10
O75015	FCRIII
O75015	FCRIIIb
P00533	EGFR
P00533	Epidermal growth factor receptor
P00533	ERBB
P00533	ERBB1
P00533	HER1
P00533	NISBD2
P00533	PIG61
P00533	mENA
P02746	C1QB
P02746	Complement C1q subcomponent subunit B
P02745	C1QA
P02745	Complement C1q subcomponent subunit A
P08637	FCGR3A
P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
P08637	CD16
P08637	CD16A
P08637	FCG3
P08637	FCGR3
P08637	FCGRIII
P08637	FCR-10
P08637	FCRIII
P08637	FCRIIIA
P08637	IGFR3
P08637	IMD20
P02747	C1QC
P02747	Complement C1q subcomponent subunit C
P02747	C1Q-C
P02747	C1QG
P12314	FCGR1A
P12314	High affinity immunoglobulin gamma Fc receptor I
P12314	CD64
P12314	CD64A
P12314	FCRI
P12314	IGFR1
P31995	FCGR2C
P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
P31995	CD32
P31995	CD32C
P31995	CDW32
P31995	FCG2
P31995	FCRIIC
P31995	IGFR2
P00736	C1R
P00736	Complement C1r subcomponent
P14784	IL2RB
P14784	Interleukin-2 receptor subunit beta
P14784	CD122
P14784	IL15RB
P14784	P70-75
P01589	IL2RA
P01589	Interleukin-2 receptor subunit alpha
P01589	CD25
P01589	IDDM10
P01589	IL2R
P01589	TCGFR
P01589	p55
P31785	IL2RG
P31785	Cytokine receptor common subunit gamma
P31785	CD132
P31785	CIDX
P31785	IL-2RG
P31785	IMD4
P31785	P64
P31785	SCIDX
P31785	SCIDX1
P20333	TNFRSF1B
P20333	Tumor necrosis factor receptor superfamily member 1B
P20333	CD120b
P20333	TBPII
P20333	TNF-R-II
P20333	TNF-R75
P20333	TNFBR
P20333	TNFR1B
P20333	TNFR2
P20333	TNFR80
P20333	p75
P20333	p75TNFR
P01374	LTA
P01374	Lymphotoxin-alpha
P01374	LT
P01374	TNFB
P01374	TNFSF1
P01375	TNF
P01375	Tumor necrosis factor
P01375	DIF
P01375	TNF-alpha
P01375	TNFA
P01375	TNFSF2
P30968	GNRHR
P30968	Gonadotropin-releasing hormone receptor
P30968	GNRHR1
P30968	GRHR
P30968	HH7
P30968	LHRHR
P30968	LRHR
P17181	IFNAR1
P17181	Interferon alpha/beta receptor 1
P17181	AVP
P17181	IFN-alpha-REC
P17181	IFNAR
P17181	IFNBR
P17181	IFRC
P48551	IFNAR2
P48551	Interferon alpha/beta receptor 2
P48551	IFN-R
P48551	IFN-alpha-REC
P48551	IFNABR
P48551	IFNARB
P00747	PLG
P00747	Plasminogen
P02671	FGA
P02671	Fibrinogen alpha chain
P02671	Fib2
P05121	SERPINE1
P05121	Plasminogen activator inhibitor 1
P05121	PAI
P05121	PAI-1
P05121	PAI1
P05121	PLANH1
Q03405	PLAUR
Q03405	Urokinase plasminogen activator surface receptor
Q03405	CD87
Q03405	U-PAR
Q03405	UPAR
Q03405	URKR
Q02643	GHRHR
Q02643	Growth hormone-releasing hormone receptor
Q02643	GHRFR
Q02643	GRFR
Q02643	IGHD1B
P19235	EPOR
P19235	Erythropoietin receptor
P19235	EPO-R
Q9Y5Y6	ST14
Q9Y5Y6	Suppressor of tumorigenicity 14 protein
Q9Y5Y6	ARCI11
Q9Y5Y6	HAI
Q9Y5Y6	MT-SP1
Q9Y5Y6	MTSP1
Q9Y5Y6	PRSS14
Q9Y5Y6	SNC19
Q9Y5Y6	TADG15
Q9Y5Y6	TMPRSS14
P98164	LRP2
P98164	Low-density lipoprotein receptor-related protein 2
P98164	DBS
P98164	GP330
P05120	SERPINB2
P05120	Plasminogen activator inhibitor 2
P05120	HsT1201
P05120	PAI
P05120	PAI-2
P05120	PAI2
P05120	PLANH2
P00750	PLAT
P00750	Tissue-type plasminogen activator
P00750	T-PA
P00750	TPA
P00749	PLAU
P00749	Urokinase-type plasminogen activator
P00749	ATF
P00749	BDPLT5
P00749	QPD
P00749	UPA
P00749	URK
P00749	u-PA
P05154	SERPINA5
P05154	Plasma serine protease inhibitor
P05154	PAI-3
P05154	PAI3
P05154	PCI
P05154	PCI-B
P05154	PLANH3
P05154	PROCI
P14543	NID1
P14543	Nidogen-1
P14543	NID
P22888	LHCGR
P22888	Lutropin-choriogonadotropic hormone receptor
P22888	HHG
